tremor,"Do you experience uncontrollable shaking or trembling in your hands, arms, legs, or other parts of your body?"
slowedMovement,"Do you feel that your movements have become slower over time, making everyday tasks take longer?"
rigidMuscles,"Do your muscles often feel stiff or difficult to move, even when you try to relax?"
poorPosture,"Have you noticed a tendency to slouch or struggle to maintain an upright posture?"
poorBalance,"Do you often feel unsteady or have difficulty maintaining your balance while standing or walking?"
automaticMovementLoss,"Have you noticed a decrease in natural movements, such as blinking, smiling, or swinging your arms while walking?"
slurredSpeech,"Have people told you that your speech sounds slurred or harder to understand than before?"
writingChanges,"Has your handwriting become noticeably smaller or more difficult to read over time?"
bladderControlLoss,"Have you experienced difficulty controlling your bladder or bowels, leading to accidents?"
depression,"Have you been feeling persistently sad, hopeless, or uninterested in things you used to enjoy?"
sleepIssues,"Do you have trouble falling asleep, staying asleep, or feeling rested even after sleeping?"
troubleWalking,"Do you find it difficult to walk steadily, or do you often stumble or trip?"
lowerLimbWeakness,"Have you noticed weakness in your legs, making it harder to stand, walk, or climb stairs?"
handFineMotorWeakness,"Do you struggle with tasks that require precise hand movements, such as buttoning a shirt or writing?"
troubleSwallowing,"Do you often have difficulty swallowing food or liquids, or feel like things get stuck in your throat?"
muscleCramps,"Do you frequently experience muscle cramps, twitches, or spasms that you can't control?"
emotionalInstability,"Have you ever found yourself laughing or crying uncontrollably, even when you don't feel emotional?"
behavioralChanges,"Have you noticed significant changes in your ability to focus, remember things, or make decisions?"
memoryLoss,"Do you frequently forget things, such as recent events or familiar names, more than you used to?"
troubleConcentrating,"Do you find it harder to focus on tasks or follow conversations than before?"
poorDecisionMaking,"Have you made decisions recently that seemed uncharacteristic or poorly thought out?"
difficultyPlanning,"Do you struggle with routine tasks that you used to complete easily, such as cooking or managing finances?"
socialWithdrawal,"Have you been avoiding social interactions or feeling uninterested in spending time with others?"
moodSwings,"Do you frequently experience sudden and intense changes in mood?"
numbness,"Do you often experience areas of numbness or reduced sensation in your body?"
muscleWeakness,"Have you noticed a loss of strength in your muscles, making it harder to perform daily activities?"
visionIssues,"Have you experienced sudden or ongoing vision problems, such as blurriness, double vision, or loss of sight?"
involuntaryMovement,"Do you experience jerky, involuntary movements that you cannot control?"
troubleFocusingEyes,"Do you have difficulty keeping your eyes focused on an object, or do they move uncontrollably?"
lackOfImpulseControl,"Have you found it harder to resist urges, such as interrupting conversations or acting on sudden impulses?"
troubleOrganizing,"Do you struggle to plan, organize, or concentrate on tasks?"
ocd,"Do you feel the need to repeat certain thoughts or behaviors, even when they interfere with your daily life?"
mania,"Have you experienced episodes of extreme energy, racing thoughts, or reckless behavior?"
uncontrolledEyeMovements,"Do your eyes move uncontrollably from side to side or up and down?"
poorCoordination,"Do you find it difficult to coordinate your movements, making activities like walking or using your hands more challenging?"
lowBloodPressure,"Do you frequently feel dizzy or lightheaded, especially when standing up quickly?"
reducedSweating,"Have you noticed that you sweat less than you used to, even in warm temperatures or after exercise?"
lossOfSexualInterest,"Have you experienced a significant decrease in your interest in sexual activity?"
brightLightSensitivity,"Do bright lights cause you discomfort, pain, or difficulty seeing?"
characteristicFacialReaction,"Have people commented that you often look surprised or startled, even when you don't feel that way?"
dizziness,"Do you frequently feel dizzy or like the room is spinning around you?"
weightLoss,"Have you lost a significant amount of weight without intentionally dieting or changing your eating habits?"